;Scopy version,dda5ec6
;Exported on,Friday January 14/01/2022
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
159,-0.001441,-0.230743,-0.506086
160,-0.00144,-0.233779,-0.506086
161,-0.001439,-0.236815,-0.506086
162,-0.001438,-0.236815,-0.506086
163,-0.001437,-0.242887,-0.507604
164,-0.001436,-0.245923,-0.507604
165,-0.001435,-0.248959,-0.507604
166,-0.001434,-0.248959,-0.507604
167,-0.001433,-0.251995,-0.507604
168,-0.001432,-0.255031,-0.506086
169,-0.001431,-0.258068,-0.507604
170,-0.00143,-0.258068,-0.507604
171,-0.001429,-0.262622,-0.507604
172,-0.001428,-0.262622,-0.507604
173,-0.001427,-0.268694,-0.507604
174,-0.001426,-0.270212,-0.506086
175,-0.001425,-0.273248,-0.506086
176,-0.001424,-0.273248,-0.506086
177,-0.001423,-0.276284,-0.507604
178,-0.001422,-0.27932,-0.506086
179,-0.001421,-0.280838,-0.507604
180,-0.00142,-0.283874,-0.507604
181,-0.001419,-0.285392,-0.50305
182,-0.001418,-0.28691,-0.507604
183,-0.001417,-0.289946,-0.507604
184,-0.001416,-0.292983,-0.506086
185,-0.001415,-0.294501,-0.506086
186,-0.001414,-0.297537,-0.506086
187,-0.001413,-0.297537,-0.507604
188,-0.001412,-0.300573,-0.50305
189,-0.001411,-0.303609,-0.507604
190,-0.00141,-0.303609,-0.507604
191,-0.001409,-0.306645,-0.506086
192,-0.001408,-0.308163,-0.506086
193,-0.001407,-0.312717,-0.507604
194,-0.001406,-0.314235,-0.506086
195,-0.001405,-0.315753,-0.506086
196,-0.001404,-0.315753,-0.506086
197,-0.001403,-0.318789,-0.506086
198,-0.001402,-0.321825,-0.506086
199,-0.001401,-0.323343,-0.506086
200,-0.0014,-0.323343,-0.507604
201,-0.001399,-0.324861,-0.506086
202,-0.001398,-0.327898,-0.506086
203,-0.001397,-0.329416,-0.506086
204,-0.001396,-0.330934,-0.506086
205,-0.001395,-0.330934,-0.507604
206,-0.001394,-0.33397,-0.509122
207,-0.001393,-0.337006,-0.507604
208,-0.001392,-0.338524,-0.507604
209,-0.001391,-0.340042,-0.507604
210,-0.00139,-0.34156,-0.507604
211,-0.001389,-0.343078,-0.506086
212,-0.001388,-0.344596,-0.507604
213,-0.001387,-0.346114,-0.507604
214,-0.001386,-0.347632,-0.507604
215,-0.001385,-0.350668,-0.509122
216,-0.001384,-0.352186,-0.506086
217,-0.001383,-0.352186,-0.507604
218,-0.001382,-0.353704,-0.507604
219,-0.001381,-0.355222,-0.507604
220,-0.00138,-0.35674,-0.507604
221,-0.001379,-0.358258,-0.50305
222,-0.001378,-0.358258,-0.507604
223,-0.001377,-0.362813,-0.507604
224,-0.001376,-0.364331,-0.507604
225,-0.001375,-0.365849,-0.509122
226,-0.001374,-0.365849,-0.507604
227,-0.001373,-0.367367,-0.506086
228,-0.001372,-0.367367,-0.506086
229,-0.001371,-0.370403,-0.509122
230,-0.00137,-0.371921,-0.507604
231,-0.001369,-0.373439,-0.507604
232,-0.001368,-0.374957,-0.506086
233,-0.001367,-0.376475,-0.509122
234,-0.001366,-0.374957,-0.506086
235,-0.001365,-0.377993,-0.507604
236,-0.001364,-0.379511,-0.507604
237,-0.001363,-0.381029,-0.506086
238,-0.001362,-0.381029,-0.507604
239,-0.001361,-0.382547,-0.507604
240,-0.00136,-0.382547,-0.507604
241,-0.001359,-0.387101,-0.507604
242,-0.001358,-0.387101,-0.506086
243,-0.001357,-0.387101,-0.507604
244,-0.001356,-0.390137,-0.50305
245,-0.001355,-0.391655,-0.507604
246,-0.001354,-0.391655,-0.507604
247,-0.001353,-0.393173,-0.506086
248,-0.001352,-0.394692,-0.506086
249,-0.001351,-0.394692,-0.509122
250,-0.00135,-0.39621,-0.50305
251,-0.001349,-0.39621,-0.506086
252,-0.001348,-0.397728,-0.507604
253,-0.001347,-0.397728,-0.507604
254,-0.001346,-0.400764,-0.507604
255,-0.001345,-0.399246,-0.506086
256,-0.001344,-0.402282,-0.509122
257,-0.001343,-0.402282,-0.50305
258,-0.001342,-0.4038,-0.507604
259,-0.001341,-0.405318,-0.509122
260,-0.00134,-0.405318,-0.506086
261,-0.001339,-0.408354,-0.506086
262,-0.001338,-0.405318,-0.509122
263,-0.001337,-0.41139,-0.506086
264,-0.001336,-0.409872,-0.506086
265,-0.001335,-0.412908,-0.506086
266,-0.001334,-0.41139,-0.509122
267,-0.001333,-0.414426,-0.506086
268,-0.001332,-0.412908,-0.506086
269,-0.001331,-0.415944,-0.509122
270,-0.00133,-0.415944,-0.507604
271,-0.001329,-0.417462,-0.506086
