;Scopy version,dda5ec6
;Exported on,Monday January 17/01/2022
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
134,-0.001466,-0.451437,-0.515195
135,-0.001465,-0.451437,-0.515195
136,-0.001464,-0.451437,-0.515195
137,-0.001463,-0.451437,-0.515195
138,-0.001462,-0.451437,-0.515195
139,-0.001461,-0.451437,-0.515195
140,-0.00146,-0.451437,-0.515195
141,-0.001459,-0.451437,-0.515195
142,-0.001458,-0.451437,-0.515195
143,-0.001457,-0.451437,-0.515195
144,-0.001456,-0.451437,-0.515195
145,-0.001455,-0.451437,-0.515195
146,-0.001454,-0.451437,-0.515195
147,-0.001453,-0.451437,-0.515195
148,-0.001452,-0.451437,-0.515195
149,-0.001451,-0.451437,-0.515195
150,-0.00145,-0.451437,-0.515195
151,-0.001449,-0.451437,-0.515195
152,-0.001448,-0.451437,-0.515195
153,-0.001447,-0.451437,-0.515195
154,-0.001446,-0.451437,-0.515195
155,-0.001445,-0.451437,-0.515195
156,-0.001444,-0.451437,-0.515195
157,-0.001443,-0.451437,-0.515195
158,-0.001442,-0.451437,-0.515195
159,-0.001441,-0.451437,-0.515195
160,-0.00144,-0.451437,-0.515195
161,-0.001439,-0.451437,-0.515195
162,-0.001438,-0.451437,-0.515195
163,-0.001437,-0.451437,-0.515195
164,-0.001436,-0.451437,-0.515195
165,-0.001435,-0.448401,-0.515195
166,-0.001434,-0.452955,-0.515195
167,-0.001433,-0.451437,-0.515195
168,-0.001432,-0.451437,-0.516713
169,-0.001431,-0.451437,-0.513677
170,-0.00143,-0.451437,-0.515195
171,-0.001429,-0.451437,-0.515195
172,-0.001428,-0.451437,-0.515195
173,-0.001427,-0.451437,-0.515195
174,-0.001426,-0.451437,-0.513677
175,-0.001425,-0.451437,-0.516713
176,-0.001424,-0.451437,-0.515195
177,-0.001423,-0.451437,-0.515195
178,-0.001422,-0.451437,-0.515195
179,-0.001421,-0.448401,-0.515195
180,-0.00142,-0.452955,-0.515195
181,-0.001419,-0.452955,-0.515195
182,-0.001418,-0.452955,-0.515195
183,-0.001417,-0.451437,-0.515195
184,-0.001416,-0.448401,-0.515195
185,-0.001415,-0.451437,-0.515195
186,-0.001414,-0.451437,-0.515195
187,-0.001413,-0.448401,-0.515195
188,-0.001412,-0.452955,-0.515195
189,-0.001411,-0.452955,-0.515195
190,-0.00141,-0.452955,-0.515195
191,-0.001409,-0.448401,-0.515195
192,-0.001408,-0.451437,-0.515195
193,-0.001407,-0.448401,-0.515195
194,-0.001406,-0.452955,-0.515195
195,-0.001405,-0.451437,-0.515195
196,-0.001404,-0.451437,-0.515195
197,-0.001403,-0.452955,-0.515195
198,-0.001402,-0.452955,-0.515195
199,-0.001401,-0.452955,-0.515195
200,-0.0014,-0.452955,-0.515195
201,-0.001399,-0.452955,-0.515195
202,-0.001398,-0.452955,-0.515195
203,-0.001397,-0.452955,-0.515195
204,-0.001396,-0.452955,-0.515195
205,-0.001395,-0.451437,-0.515195
206,-0.001394,-0.451437,-0.515195
207,-0.001393,-0.452955,-0.515195
208,-0.001392,-0.451437,-0.515195
209,-0.001391,-0.452955,-0.515195
210,-0.00139,-0.452955,-0.515195
211,-0.001389,-0.452955,-0.515195
212,-0.001388,-0.448401,-0.515195
213,-0.001387,-0.452955,-0.515195
214,-0.001386,-0.452955,-0.515195
215,-0.001385,-0.452955,-0.515195
216,-0.001384,-0.452955,-0.515195
217,-0.001383,-0.452955,-0.515195
218,-0.001382,-0.452955,-0.515195
219,-0.001381,-0.452955,-0.515195
220,-0.00138,-0.452955,-0.515195
221,-0.001379,-0.452955,-0.515195
222,-0.001378,-0.451437,-0.515195
223,-0.001377,-0.451437,-0.515195
224,-0.001376,-0.451437,-0.515195
225,-0.001375,-0.452955,-0.515195
226,-0.001374,-0.451437,-0.515195
227,-0.001373,-0.452955,-0.515195
228,-0.001372,-0.452955,-0.515195
229,-0.001371,-0.452955,-0.515195
230,-0.00137,-0.452955,-0.515195
231,-0.001369,-0.452955,-0.515195
232,-0.001368,-0.452955,-0.515195
233,-0.001367,-0.452955,-0.515195
234,-0.001366,-0.452955,-0.515195
235,-0.001365,-0.452955,-0.516713
236,-0.001364,-0.452955,-0.513677
237,-0.001363,-0.452955,-0.515195
238,-0.001362,-0.452955,-0.515195
239,-0.001361,-0.452955,-0.515195
240,-0.00136,-0.452955,-0.515195
241,-0.001359,-0.452955,-0.515195
242,-0.001358,-0.452955,-0.515195
243,-0.001357,-0.452955,-0.516713
244,-0.001356,-0.452955,-0.515195
245,-0.001355,-0.452955,-0.515195
246,-0.001354,-0.452955,-0.515195
247,-0.001353,-0.452955,-0.515195
248,-0.001352,-0.452955,-0.518231
249,-0.001351,-0.452955,-0.515195
250,-0.00135,-0.452955,-0.515195
251,-0.001349,-0.452955,-0.515195
252,-0.001348,-0.452955,-0.515195
253,-0.001347,-0.452955,-0.515195
254,-0.001346,-0.452955,-0.515195
255,-0.001345,-0.452955,-0.515195
256,-0.001344,-0.452955,-0.515195
257,-0.001343,-0.452955,-0.515195
258,-0.001342,-0.452955,-0.515195
259,-0.001341,-0.452955,-0.515195
260,-0.00134,-0.452955,-0.516713
261,-0.001339,-0.452955,-0.513677
262,-0.001338,-0.452955,-0.515195
263,-0.001337,-0.452955,-0.515195
264,-0.001336,-0.452955,-0.515195
265,-0.001335,-0.452955,-0.515195
266,-0.001334,-0.452955,-0.515195
267,-0.001333,-0.452955,-0.515195
268,-0.001332,-0.452955,-0.515195
269,-0.001331,-0.452955,-0.515195
270,-0.00133,-0.452955,-0.515195
271,-0.001329,-0.452955,-0.515195
272,-0.001328,-0.452955,-0.515195
273,-0.001327,-0.452955,-0.515195
274,-0.001326,-0.452955,-0.515195
275,-0.001325,-0.452955,-0.515195
276,-0.001324,-0.452955,-0.515195
277,-0.001323,-0.452955,-0.515195
278,-0.001322,-0.452955,-0.515195
279,-0.001321,-0.452955,-0.515195
280,-0.00132,-0.452955,-0.515195
281,-0.001319,-0.452955,-0.515195
282,-0.001318,-0.452955,-0.515195
283,-0.001317,-0.452955,-0.515195
284,-0.001316,-0.452955,-0.515195
285,-0.001315,-0.452955,-0.515195
286,-0.001314,-0.452955,-0.515195
287,-0.001313,-0.452955,-0.515195
288,-0.001312,-0.452955,-0.515195
289,-0.001311,-0.452955,-0.515195
290,-0.00131,-0.452955,-0.515195
291,-0.001309,-0.452955,-0.515195
292,-0.001308,-0.452955,-0.515195
293,-0.001307,-0.452955,-0.515195
294,-0.001306,-0.451437,-0.515195
295,-0.001305,-0.454473,-0.515195
296,-0.001304,-0.452955,-0.515195
297,-0.001303,-0.451437,-0.515195
298,-0.001302,-0.454473,-0.515195
299,-0.001301,-0.452955,-0.515195
300,-0.0013,-0.452955,-0.515195
301,-0.001299,-0.452955,-0.515195
302,-0.001298,-0.452955,-0.515195
303,-0.001297,-0.452955,-0.515195
304,-0.001296,-0.452955,-0.515195
305,-0.001295,-0.452955,-0.515195
306,-0.001294,-0.452955,-0.515195
307,-0.001293,-0.452955,-0.515195
308,-0.001292,-0.452955,-0.515195
309,-0.001291,-0.452955,-0.515195
310,-0.00129,-0.452955,-0.515195
311,-0.001289,-0.452955,-0.515195
312,-0.001288,-0.452955,-0.515195
313,-0.001287,-0.454473,-0.515195
314,-0.001286,-0.452955,-0.515195
315,-0.001285,-0.454473,-0.515195
316,-0.001284,-0.452955,-0.515195
317,-0.001283,-0.452955,-0.515195
318,-0.001282,-0.452955,-0.515195
319,-0.001281,-0.452955,-0.516713
320,-0.00128,-0.452955,-0.515195
321,-0.001279,-0.452955,-0.515195
322,-0.001278,-0.452955,-0.515195
