"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.447448730E-1,-1.842498779E-1,5.503845215E-2,9.645462036E0,9.647378667E0
1.470642090E-1,-1.698913574E-1,5.981445312E-2,9.657424927E0,9.659104361E0
1.494140620E-1,-1.603240967E-1,5.503845215E-2,9.633499146E0,9.634990339E0
1.517333980E-1,-1.722869873E-1,6.221008301E-2,9.635894775E0,9.637635655E0
1.540832520E-1,-1.842498779E-1,6.460571289E-2,9.645462036E0,9.647437992E0
1.564025880E-1,-1.794586182E-1,5.981445312E-2,9.650253296E0,9.652107119E0
1.587524410E-1,-1.818542480E-1,6.700134277E-2,9.631118774E0,9.633068514E0
1.611022950E-1,-1.818542480E-1,7.656860352E-2,9.640686035E0,9.642705064E0
1.634216310E-1,-1.842498779E-1,7.177734375E-2,9.643081665E0,9.645108812E0
1.657714840E-1,-1.962127686E-1,6.939697266E-2,9.643081665E0,9.645327334E0
1.680908200E-1,-1.842498779E-1,6.700134277E-2,9.628723145E0,9.630718903E0
1.704406740E-1,-1.866455078E-1,7.177734375E-2,9.633499146E0,9.635574416E0
1.727600100E-1,-1.722869873E-1,7.896423340E-2,9.650253296E0,9.652114112E0
1.751098630E-1,-1.746826172E-1,7.177734375E-2,9.643081665E0,9.644930793E0
1.774291990E-1,-1.842498779E-1,5.981445312E-2,9.640686035E0,9.642632058E0
1.797790530E-1,-1.938171387E-1,5.981445312E-2,9.638290405E0,9.640424513E0
1.820983890E-1,-1.962127686E-1,5.981445312E-2,9.635894775E0,9.638077886E0
1.844482420E-1,-1.938171387E-1,6.939697266E-2,9.623931885E0,9.626133489E0
1.867675780E-1,-1.866455078E-1,7.896423340E-2,9.631118774E0,9.633250788E0
1.891174320E-1,-1.770629883E-1,6.700134277E-2,9.638290405E0,9.640149502E0
1.914367670E-1,-1.914215088E-1,6.939697266E-2,9.635894775E0,9.638045770E0
1.937866210E-1,-1.842498779E-1,6.939697266E-2,9.643081665E0,9.645091392E0
1.961059570E-1,-1.866455078E-1,5.264282227E-2,9.645462036E0,9.647411347E0
1.984558100E-1,-1.890258789E-1,5.503845215E-2,9.628723145E0,9.630735663E0
2.007751460E-1,-1.770629883E-1,5.264282227E-2,9.633499146E0,9.635270020E0
2.031250000E-1,-1.866455078E-1,5.264282227E-2,9.628723145E0,9.630675844E0
2.054748530E-1,-1.962127686E-1,6.460571289E-2,9.616760254E0,9.618978695E0
2.077941890E-1,-1.818542480E-1,7.417297363E-2,9.635894775E0,9.637896073E0
2.101440430E-1,-1.866455078E-1,6.221008301E-2,9.640686035E0,9.642693289E0
2.124633790E-1,-1.914215088E-1,6.700134277E-2,9.628723145E0,9.630858776E0
2.148132320E-1,-1.890258789E-1,6.460571289E-2,9.623931885E0,9.626004862E0
2.171325680E-1,-1.938171387E-1,5.503845215E-2,9.638290405E0,9.640396063E0
2.194824220E-1,-2.033843994E-1,5.743408203E-2,9.614364624E0,9.616687112E0
2.218017580E-1,-2.010040283E-1,5.264282227E-2,9.602401733E0,9.604649548E0
2.241516110E-1,-1.914215088E-1,5.024719238E-2,9.628723145E0,9.630756791E0
2.264709470E-1,-1.938171387E-1,5.264282227E-2,9.602401733E0,9.604501830E0
2.288208010E-1,-1.962127686E-1,5.981445312E-2,9.621536255E0,9.623722623E0
2.311401370E-1,-1.938171387E-1,7.177734375E-2,9.628723145E0,9.630941100E0
2.334899900E-1,-1.938171387E-1,7.177734375E-2,9.611968994E0,9.614190814E0
2.358093260E-1,-1.914215088E-1,5.981445312E-2,9.621536255E0,9.623626129E0
2.381591800E-1,-1.866455078E-1,6.221008301E-2,9.619140625E0,9.621152374E0
2.404785160E-1,-1.770629883E-1,5.264282227E-2,9.643081665E0,9.644850780E0
2.428283690E-1,-1.722869873E-1,6.221008301E-2,9.635894775E0,9.637635655E0
2.451782230E-1,-1.770629883E-1,5.981445312E-2,9.621536255E0,9.623351234E0
2.474975580E-1,-1.818542480E-1,5.981445312E-2,9.628723145E0,9.630626051E0
2.498474120E-1,-1.818542480E-1,5.981445312E-2,9.631118774E0,9.633021207E0
2.521667480E-1,-1.962127686E-1,5.024719238E-2,9.623931885E0,9.626063014E0
2.545166010E-1,-1.962127686E-1,5.503845215E-2,9.614364624E0,9.616524102E0
2.568359370E-1,-1.818542480E-1,6.460571289E-2,9.628723145E0,9.630657000E0
2.591857910E-1,-1.914215088E-1,6.221008301E-2,9.626327515E0,9.628431529E0
2.615051270E-1,-1.962127686E-1,6.221008301E-2,9.616760254E0,9.618962903E0
2.638549800E-1,-1.866455078E-1,5.981445312E-2,9.619140625E0,9.621137182E0
2.661743160E-1,-1.770629883E-1,5.264282227E-2,9.643081665E0,9.644850780E0
2.685241700E-1,-1.986083984E-1,5.024719238E-2,9.635894775E0,9.638072328E0
2.708435060E-1,-1.818542480E-1,4.785156250E-2,9.638290405E0,9.640124619E0
2.731933590E-1,-1.962127686E-1,5.743408203E-2,9.633499146E0,9.635668317E0
2.755126950E-1,-1.938171387E-1,5.264282227E-2,9.628723145E0,9.630817501E0
2.778625490E-1,-2.033843994E-1,5.024719238E-2,9.614364624E0,9.616646875E0
2.801818850E-1,-1.962127686E-1,5.981445312E-2,9.609573364E0,9.611762453E0
2.825317380E-1,-1.938171387E-1,5.264282227E-2,9.592819214E0,9.594921408E0
2.848510740E-1,-2.081756592E-1,5.264282227E-2,9.583251953E0,9.585657326E0
2.872009280E-1,-1.962127686E-1,5.503845215E-2,9.611968994E0,9.614129010E0
2.895202640E-1,-1.962127686E-1,5.503845215E-2,9.604797363E0,9.606958992E0
2.918701170E-1,-1.866455078E-1,6.939697266E-2,9.616760254E0,9.618821667E0
2.942199710E-1,-1.914215088E-1,7.417297363E-2,9.623931885E0,9.626121168E0
2.965393070E-1,-1.627044678E-1,8.375549316E-2,9.626327515E0,9.628066740E0
2.988891600E-1,-1.555328369E-1,7.896423340E-2,9.614364624E0,9.615946804E0
3.012084960E-1,-1.579284668E-1,8.853149414E-2,9.626327515E0,9.628029946E0
3.035583500E-1,-1.435699463E-1,9.092712402E-2,9.626327515E0,9.627827454E0
3.058776850E-1,-1.363983154E-1,9.571838379E-2,9.607177734E0,9.608622718E0
3.082275390E-1,-1.579284668E-1,1.100769043E-1,9.635894775E0,9.637817515E0
3.105468750E-1,-1.483612061E-1,1.004943848E-1,9.628723145E0,9.630390416E0
3.129272460E-1,-1.579284668E-1,1.028900146E-1,9.628723145E0,9.630567852E0
3.152465820E-1,-1.531372070E-1,9.092712402E-2,9.611968994E0,9.613618813E0
3.175964350E-1,-1.770629883E-1,7.656860352E-2,9.635894775E0,9.637825594E0
3.199157710E-1,-1.866455078E-1,7.417297363E-2,9.633499146E0,9.635592559E0
3.222656250E-1,-1.770629883E-1,8.135986328E-2,9.650253296E0,9.652220439E0
3.245849610E-1,-1.698913574E-1,9.092712402E-2,9.628723145E0,9.630651079E0
3.269348140E-1,-1.603240967E-1,9.571838379E-2,9.645462036E0,9.647269236E0
3.292541500E-1,-1.507415771E-1,9.571838379E-2,9.650253296E0,9.651905185E0
